Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.fromByteString.no padding.little endian.4096 bytes,206043681,485350,2164571,326,103809024
All.fromByteString.no padding.big endian.1 bytes,14975,170,79,0,103809024
All.fromByteString.no padding.big endian.2 bytes,38411,720,199,0,103809024
All.fromByteString.no padding.big endian.3 bytes,59010,570,319,0,103809024
All.fromByteString.no padding.big endian.4 bytes,84080,1608,439,0,103809024
All.fromByteString.no padding.big endian.5 bytes,113960,1620,558,0,103809024
All.fromByteString.no padding.big endian.6 bytes,136055,2644,667,0,103809024
All.fromByteString.no padding.big endian.7 bytes,159884,2626,798,0,103809024
All.fromByteString.no padding.big endian.8 bytes,23915,124,103,0,103809024
All.fromByteString.no padding.big endian.16 bytes,57361,156,263,0,103809024
All.fromByteString.no padding.big endian.32 bytes,136068,2300,630,0,103809024
All.fromByteString.no padding.big endian.64 bytes,283330,5502,1556,0,103809024
All.fromByteString.no padding.big endian.128 bytes,618898,6194,4173,0,103809024
All.fromByteString.no padding.big endian.256 bytes,1396360,16928,12422,0,103809024
All.fromByteString.no padding.big endian.512 bytes,3385926,44078,41376,3,103809024
All.fromByteString.no padding.big endian.1024 bytes,10305145,116712,148158,10,103809024
All.fromByteString.no padding.big endian.2048 bytes,38307361,570790,557952,89,103809024
All.fromByteString.no padding.big endian.4096 bytes,202422684,3703112,2163554,315,103809024
All.fromByteString.with padding.little endian.1 bytes (0 padding),17675,246,95,0,103809024
All.fromByteString.with padding.little endian.2 bytes (1 padding),19118,240,111,0,103809024
All.fromByteString.with padding.little endian.3 bytes (2 padding),20052,376,127,0,103809024
All.fromByteString.with padding.little endian.4 bytes (3 padding),21161,348,143,0,103809024
All.fromByteString.with padding.little endian.5 bytes (4 padding),22707,424,159,0,103809024
All.fromByteString.with padding.little endian.6 bytes (5 padding),22711,434,175,0,103809024
All.fromByteString.with padding.little endian.7 bytes (6 padding),24832,26,191,0,103809024
All.fromByteString.with padding.little endian.8 bytes (7 padding),26312,322,207,0,103809024
All.fromByteString.with padding.little endian.16 bytes (15 padding),38364,724,335,0,103809024
All.fromByteString.with padding.little endian.32 bytes (31 padding),60101,954,591,0,103809024
All.fromByteString.with padding.little endian.64 bytes (63 padding),110567,2050,1102,0,103809024
